,mean_fit_time,std_fit_time,mean_test_score,std_test_score
logreg,0.04120144844055176,0.007783086965982608,0.9761174568137246,0.005129604546227521
randomforest,4.179827499389648,0.3399560359091259,0.9703924795151538,0.00567751874867336
knn,0.00816812515258789,0.0009612177368539252,0.9655285506502941,0.007511069230687242
svm,0.25398974418640136,0.005551877782375795,0.9773777137577164,0.0017433250888238825
