,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.011793804168701173,0.005267461514237935,0.053001928329467776,0.013710994051474978,auto,euclidean,1,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.8950414504145042,0.9135566355663556,0.9137616376163761,0.9086866483923247,0.9096937380366421,0.9081478667238266,0.006859466545093886,593
1,0.009790134429931641,0.0009767418609132712,0.04641594886779785,0.0010343622220238353,auto,euclidean,1,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.8950414504145042,0.9135566355663556,0.9137616376163761,0.9086866483923247,0.9096937380366421,0.9081478667238266,0.006859466545093886,593
2,0.008584356307983399,0.0010176622010677136,0.061817502975463866,0.0026245420692942827,auto,euclidean,4,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}",0.9379960466271329,0.958679586795868,0.9467519675196752,0.9425300292789639,0.9378105470964472,0.9447543183731423,0.007704099843937883,581
3,0.010407018661499023,0.0013567415946352508,0.0845855712890625,0.008914256757244273,auto,euclidean,4,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}",0.9383252165854992,0.9589062557292238,0.9469461361280279,0.9426834270393566,0.9379564417055163,0.9449641873187832,0.007703501383094366,577
4,0.016399431228637695,0.013917188428004391,0.09739770889282226,0.037860704828988664,auto,euclidean,7,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9424952582859162,0.9657479908132415,0.9634604679380127,0.9475029512395208,0.9476246690276582,0.9533671320153402,0.00938897017020209,565
5,0.00860452651977539,0.0010193829295988646,0.06959395408630371,0.0035106904004794035,auto,euclidean,7,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9432977663109964,0.9659246592465924,0.9637813044797114,0.947615498509374,0.9476463447981486,0.9536540119636104,0.009305652607796274,561
6,0.008396148681640625,0.0008030567603201825,0.10685906410217286,0.06742520630146982,auto,euclidean,10,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.943412767461008,0.9715688823554902,0.9629579629129624,0.9486334260389364,0.9463191206973596,0.9545794901004857,0.01083671744157789,557
7,0.012919282913208008,0.004912705211414169,0.13189682960510254,0.06814995038020986,auto,euclidean,10,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.9442677760110935,0.9717338840055068,0.9634704680380137,0.9487034554512896,0.9465808973102037,0.9549523852073669,0.01074721949427493,553
8,0.008997058868408203,0.001562119917408999,0.08780183792114257,0.013011146570680277,auto,euclidean,13,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.947806144728114,0.974819748197482,0.9624112907795744,0.9498922880943329,0.9513995878268873,0.9572667982731833,0.010128442295978724,533
9,0.008780097961425782,0.0011500399131807804,0.08222403526306152,0.006347582043932714,auto,euclidean,13,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}",0.9488611552782193,0.9751272512725128,0.9630662973296399,0.9498564397046759,0.9512945437083574,0.9576421902256858,0.010131182279159165,529
10,0.008419656753540039,0.00048611177131257805,0.08998274803161621,0.0034411990783018796,auto,euclidean,16,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'uniform'}",0.9490503238365717,0.9742822428224283,0.9633713003796704,0.9529277296464516,0.9547126459779773,0.9588696007729121,0.00902064484028396,517
11,0.008395671844482422,0.0010173092294867073,0.08921031951904297,0.004956634571167695,auto,euclidean,16,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'distance'}",0.9501170011700117,0.9747980813141465,0.9640113067797345,0.9528585339175788,0.9545825913550358,0.9592743302842323,0.009060849309654086,513
12,0.008199787139892578,0.0004043165390425245,0.09080257415771484,0.002638604409243265,auto,euclidean,19,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}",0.9543003763370967,0.9735014016806836,0.9668963356300229,0.9538981372176314,0.9554821358303821,0.9608165900324234,0.007958252771770867,505
13,0.009395074844360352,0.0011965639801426924,0.093013334274292,0.006386619268836707,auto,euclidean,19,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}",0.9553545535455356,0.9743339100057667,0.9670480038133714,0.9538272741217979,0.9554679632112154,0.9612073181759633,0.008100585740129417,497
14,0.009998655319213868,0.0014140774768148722,0.1123924732208252,0.01257396074598902,auto,euclidean,22,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'uniform'}",0.9554895548955489,0.9725697256972569,0.9664388310549773,0.957140332272888,0.9551778413600378,0.9613640324670395,0.006956355083582341,493
15,0.010795116424560547,0.0021384329968533572,0.10560345649719238,0.006889582832911366,auto,euclidean,22,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}",0.9566478998123314,0.9737697376973768,0.9664913315799826,0.9568610483069556,0.9552862202124892,0.9618121024146621,0.007192535501913997,489
