,round_epochs,val_loss,val_matthews,val_precision,val_recall,loss,matthews,precision,recall,activation,batch_size,class_weight,dropout,epochs,first_hidden_layer,first_neuron,kernel_initializer,learning_rate,optimizer,second_hidden_layer
0,150,0.0647633260824591,0.8863946199417114,0.9417787790298462,0.8550376892089844,0.06537427145808541,0.8729718923568726,0.9144046902656555,0.8601418137550354,elu,128,,0.05,150,2,8,he_normal,1.0,<class 'keras.optimizers.Adam'>,8
1,200,0.0692855301927123,0.8723445534706116,0.9104442000389099,0.8587857484817505,0.07265920013747554,0.8610103726387024,0.9028418064117432,0.846897304058075,elu,256,,0.05,200,2,8,he_normal,0.1,<class 'keras.optimizers.Adam'>,8
2,150,0.06643422069650134,0.8766124844551086,0.9196828603744507,0.8577008247375488,0.06755122113949114,0.8782106637954712,0.9304234385490417,0.8536710739135742,elu,128,,0.2,150,2,8,he_normal,0.5,<class 'keras.optimizers.Adam'>,8
3,150,0.0654833284221721,0.8835185170173645,0.9383752942085266,0.8538193702697754,0.06465616350436068,0.8801056146621704,0.9201463460922241,0.8659849166870117,elu,128,,0.1,150,2,8,he_normal,2.0,<class 'keras.optimizers.Adam'>,8
4,100,0.06556748639609963,0.8832243084907532,0.9378883242607117,0.854253351688385,0.06552874720023003,0.8758615255355835,0.9191027283668518,0.8605993390083313,elu,128,,0.1,100,2,8,he_normal,1.5,<class 'keras.optimizers.Adam'>,8
5,150,0.06699346735340832,0.8728489875793457,0.9380231499671936,0.8329430818557739,0.07381140775645526,0.8672787547111511,0.9394553303718567,0.8254653811454773,elu,192,,0.05,150,2,8,he_normal,0.1,<class 'keras.optimizers.Adam'>,8
6,100,0.06353772054920133,0.8865247368812561,0.932934582233429,0.8617074489593506,0.06941040814011692,0.8672578930854797,0.9182278513908386,0.8430464267730713,elu,256,,0.1,100,2,8,he_normal,1.0,<class 'keras.optimizers.Adam'>,8
7,150,0.06460486643658343,0.8846575617790222,0.924141526222229,0.8684659004211426,0.0668369963520915,0.8694549798965454,0.9079535007476807,0.8582179546356201,elu,128,,0.2,150,2,8,he_normal,1.5,<class 'keras.optimizers.Adam'>,8
8,150,0.0649126731608593,0.8819727301597595,0.9317865967750549,0.8570942878723145,0.06862694750749694,0.8646467328071594,0.9149407148361206,0.8427667617797852,elu,128,,0.05,150,2,8,he_normal,0.5,<class 'keras.optimizers.Adam'>,8
9,150,0.5524104955121191,0.23860329389572144,0.21205158531665802,0.5497395992279053,0.556123855267245,0.23508580029010773,0.2182375192642212,0.542555570602417,elu,256,,0.2,150,2,8,he_normal,0.01,<class 'keras.optimizers.Adam'>,8
10,200,0.06525617042731707,0.8700360059738159,0.9156962037086487,0.8490458726882935,0.06298745420700745,0.8770873546600342,0.9211042523384094,0.8592420816421509,elu,192,,0.1,200,2,8,he_normal,2.0,<class 'keras.optimizers.Adam'>,8
11,100,0.0651368344920036,0.8789197206497192,0.9355452656745911,0.8468067049980164,0.06942046408947096,0.8603546619415283,0.9099424481391907,0.8386622667312622,elu,256,,0.2,100,2,8,he_normal,1.0,<class 'keras.optimizers.Adam'>,8
12,150,0.06839952975518951,0.8663496971130371,0.9252130389213562,0.8334548473358154,0.06976246101113268,0.8733054995536804,0.9253571033477783,0.8470197319984436,elu,192,,0.05,150,2,8,he_normal,0.5,<class 'keras.optimizers.Adam'>,8
13,150,0.06577823590510369,0.881726086139679,0.9359791278839111,0.8517798185348511,0.06558082916917776,0.874483585357666,0.9286778569221497,0.8463566899299622,elu,256,,0.05,150,2,8,he_normal,3.0,<class 'keras.optimizers.Adam'>,8
14,100,0.06552063335502913,0.8813773989677429,0.9150269031524658,0.8720000982284546,0.06389800686168767,0.8780561685562134,0.9206570982933044,0.8620012402534485,elu,128,,0.2,100,2,8,he_normal,3.0,<class 'keras.optimizers.Adam'>,8
15,150,0.07280012456455523,0.8759641051292419,0.9350571632385254,0.8414982557296753,0.07602137977097988,0.8602103590965271,0.9290896654129028,0.8219952583312988,elu,192,,0.1,150,2,8,he_normal,0.1,<class 'keras.optimizers.Adam'>,8
16,200,0.444178009717021,0.7452986836433411,0.6898585557937622,0.8608686327934265,0.4424962200043606,0.7435709834098816,0.6948374509811401,0.8548451662063599,elu,192,,0.1,200,2,8,he_normal,0.01,<class 'keras.optimizers.Adam'>,8
17,200,0.0659463592891232,0.8706244230270386,0.931298017501831,0.8351222276687622,0.06466648665805125,0.8760742545127869,0.929252028465271,0.8483176827430725,elu,192,,0.1,200,2,8,he_normal,1.0,<class 'keras.optimizers.Adam'>,8
