,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07780060768127442,0.025931055102988914,0.004798746109008789,0.0031884891774603824,1e-05,100,newton-cg,"{'C': 1e-05, 'max_iter': 100, 'solver': 'newton-cg'}",0.959459594595946,0.9689496894968951,0.9660913275799424,0.95693357876975,0.9598448014832897,0.9622563745020176,0.004505098165373173,342
1,0.026503896713256835,0.0035511788713942696,0.0025986194610595702,0.0017455951212696354,1e-05,100,lbfgs,"{'C': 1e-05, 'max_iter': 100, 'solver': 'lbfgs'}",0.9594579279126124,0.9689513561802284,0.9660913275799424,0.9569352461367109,0.9598431341163288,0.9622563745020175,0.004505585227464514,349
2,0.03979825973510742,0.006431107294074392,0.0034088134765625,0.0008160377278746371,1e-05,100,sag,"{'C': 1e-05, 'max_iter': 100, 'solver': 'sag'}",0.9594579279126124,0.9689496894968951,0.9660879942132755,0.9569319114027892,0.9598431341163288,0.9622547075452943,0.004505310042942936,360
3,0.052196836471557616,0.0067087712248593365,0.0030069828033447267,0.0009001977259244277,1e-05,100,saga,"{'C': 1e-05, 'max_iter': 100, 'solver': 'saga'}",0.959459594595946,0.9689513561802284,0.9660913275799424,0.95693357876975,0.9598464688502504,0.9622570412872125,0.004505415079066545,337
4,0.04759821891784668,0.008978408378506256,0.002399253845214844,0.0004898435680851882,1e-05,200,newton-cg,"{'C': 1e-05, 'max_iter': 200, 'solver': 'newton-cg'}",0.959459594595946,0.9689496894968951,0.9660913275799424,0.95693357876975,0.9598448014832897,0.9622563745020176,0.004505098165373173,342
5,0.043802070617675784,0.02414959247052221,0.008400678634643555,0.00807329177650287,1e-05,200,lbfgs,"{'C': 1e-05, 'max_iter': 200, 'solver': 'lbfgs'}",0.9594579279126124,0.9689513561802284,0.9660913275799424,0.9569352461367109,0.9598431341163288,0.9622563745020175,0.004505585227464514,349
6,0.054363441467285153,0.014760746606657304,0.006602239608764648,0.007227707539610378,1e-05,200,sag,"{'C': 1e-05, 'max_iter': 200, 'solver': 'sag'}",0.959459594595946,0.9689513561802284,0.9660913275799424,0.9569319114027892,0.9598448014832897,0.9622563744894888,0.004505987432157386,355
7,0.06500258445739746,0.01994519873153744,0.005799198150634765,0.002923732899645409,1e-05,200,saga,"{'C': 1e-05, 'max_iter': 200, 'solver': 'saga'}",0.959459594595946,0.9689513561802284,0.9660913275799424,0.95693357876975,0.9598448014832897,0.9622567078883507,0.00450559350625835,339
8,0.08539972305297852,0.03670870884437987,0.003798389434814453,0.002039610462752337,1e-05,400,newton-cg,"{'C': 1e-05, 'max_iter': 400, 'solver': 'newton-cg'}",0.959459594595946,0.9689496894968951,0.9660913275799424,0.95693357876975,0.9598448014832897,0.9622563745020176,0.004505098165373173,342
9,0.018799018859863282,0.003125687079728834,0.0022018909454345702,0.00039860724729736053,1e-05,400,lbfgs,"{'C': 1e-05, 'max_iter': 400, 'solver': 'lbfgs'}",0.9594579279126124,0.9689513561802284,0.9660913275799424,0.9569352461367109,0.9598431341163288,0.9622563745020175,0.004505585227464514,349
10,0.03739748001098633,0.005641891830005474,0.0020034313201904297,1.4384368065832478e-06,1e-05,400,sag,"{'C': 1e-05, 'max_iter': 400, 'solver': 'sag'}",0.959459594595946,0.9689513561802284,0.9660879942132755,0.9569369135036716,0.9598431341163289,0.9622563745145462,0.004504417104169837,341
11,0.042998456954956056,0.012538547384419601,0.003001117706298828,0.0008920173817820159,1e-05,400,saga,"{'C': 1e-05, 'max_iter': 400, 'solver': 'saga'}",0.9594579279126124,0.9689496894968951,0.9660896608966091,0.9569352461367109,0.9598448014832897,0.9622560411282131,0.004504627574188117,357
12,0.07820820808410645,0.03697631617241763,0.0029949188232421876,0.00154093133434726,1e-05,600,newton-cg,"{'C': 1e-05, 'max_iter': 600, 'solver': 'newton-cg'}",0.959459594595946,0.9689496894968951,0.9660913275799424,0.95693357876975,0.9598448014832897,0.9622563745020176,0.004505098165373173,342
13,0.020400428771972658,0.003667018366202067,0.002599954605102539,0.0008019212363678862,1e-05,600,lbfgs,"{'C': 1e-05, 'max_iter': 600, 'solver': 'lbfgs'}",0.9594579279126124,0.9689513561802284,0.9660913275799424,0.9569352461367109,0.9598431341163288,0.9622563745020175,0.004505585227464514,349
14,0.03480067253112793,0.003824115114551825,0.002398777008056641,0.0004900613343131979,1e-05,600,sag,"{'C': 1e-05, 'max_iter': 600, 'solver': 'sag'}",0.9594562612292789,0.9689513561802285,0.9660896608966091,0.9569319114027892,0.9598514709511328,0.9622567079259366,0.004505405061202833,338
15,0.041598272323608396,0.002245444665088645,0.002602958679199219,0.000489320677776383,1e-05,600,saga,"{'C': 1e-05, 'max_iter': 600, 'solver': 'saga'}",0.959459594595946,0.9689513561802284,0.9660913275799424,0.9569319114027892,0.9598448014832897,0.9622563744894888,0.004505987432157386,355
16,0.06080031394958496,0.004953992040333592,0.003798246383666992,0.001326190628033636,1e-05,800,newton-cg,"{'C': 1e-05, 'max_iter': 800, 'solver': 'newton-cg'}",0.959459594595946,0.9689496894968951,0.9660913275799424,0.95693357876975,0.9598448014832897,0.9622563745020176,0.004505098165373173,342
17,0.019598388671875,0.002728688076701986,0.004600715637207031,0.004271982826682359,1e-05,800,lbfgs,"{'C': 1e-05, 'max_iter': 800, 'solver': 'lbfgs'}",0.9594579279126124,0.9689513561802284,0.9660913275799424,0.9569352461367109,0.9598431341163288,0.9622563745020175,0.004505585227464514,349
