,round_epochs,val_loss,val_matthews,val_precision,val_recall,loss,matthews,precision,recall,activation,batch_size,class_weight,dropout,epochs,first_hidden_layer,first_neuron,kernel_initializer,learning_rate,optimizer,second_hidden_layer
0,50,0.06962051644860248,0.8730902671813965,0.9101158380508423,0.8653943538665771,0.06651388629224261,0.8707584738731384,0.9189935922622681,0.8544855713844299,elu,64,,0.2,50,4,6,he_normal,1.0,<class 'keras.optimizers.Adam'>,6
1,200,0.07575301233857597,0.8522063493728638,0.9357771873474121,0.8072814345359802,0.06945779366460746,0.8595486879348755,0.9084057211875916,0.8414022922515869,relu,64,,0.2,200,6,6,normal,10.0,<class 'keras.optimizers.RMSprop'>,2
2,200,0.07040961007655837,0.850377082824707,0.9368669390678406,0.801952600479126,0.06333498325255982,0.87724769115448,0.9268863201141357,0.8598738312721252,relu,64,,0.0,200,6,4,normal,10.0,<class 'keras.optimizers.Adam'>,6
3,50,0.15290096748517587,0.8077422380447388,0.7454838156700134,0.9264424443244934,0.16615271726571634,0.8346953392028809,0.800379753112793,0.9132788181304932,elu,64,"{0: 0.550402853804047, 1: 5.460036607687615}",0.2,50,6,4,he_normal,1.0,<class 'keras.optimizers.RMSprop'>,2
4,200,0.07076427960448728,0.8454939723014832,0.9014801979064941,0.8271667957305908,0.06770545945186826,0.8758788108825684,0.9405463337898254,0.8429878950119019,elu,64,,0.2,200,4,4,he_normal,0.1,<class 'keras.optimizers.RMSprop'>,6
5,200,0.1404780998718718,0.8228784799575806,0.7676212787628174,0.9199215173721313,0.15390029057968216,0.8253979086875916,0.7743651270866394,0.9181257486343384,relu,512,"{0: 0.550402853804047, 1: 5.460036607687615}",0.2,200,6,4,he_normal,1.0,<class 'keras.optimizers.RMSprop'>,2
6,50,0.07807963837686531,0.8513738512992859,0.9077916145324707,0.8313366174697876,0.07809028831592464,0.8567652702331543,0.9164532423019409,0.8298377990722656,elu,64,,0.0,50,4,4,normal,0.1,<class 'keras.optimizers.Adam'>,6
7,50,0.695319272239184,0.0,0.08803887665271759,1.0,0.6897586706396163,0.0,0.09260096400976181,1.0,relu,512,"{0: 0.550402853804047, 1: 5.460036607687615}",0.0,50,4,6,normal,0.1,<class 'keras.optimizers.RMSprop'>,2
8,200,0.06852448011672405,0.8643535375595093,0.908465564250946,0.8519841432571411,0.0652107016007797,0.8801836371421814,0.919276237487793,0.8717227578163147,elu,64,,0.2,200,4,4,normal,10.0,<class 'keras.optimizers.RMSprop'>,2
9,50,0.13606861017982985,0.8028931617736816,0.7344338893890381,0.9296170473098755,0.16206695515584724,0.8247786164283752,0.7762914896011353,0.9226778149604797,elu,64,"{0: 0.550402853804047, 1: 5.460036607687615}",0.0,50,6,6,he_normal,1.0,<class 'keras.optimizers.RMSprop'>,2
10,50,0.07132515705602027,0.8620762228965759,0.9170571565628052,0.839600682258606,0.06575008054181027,0.8687815070152283,0.9040217995643616,0.8667559623718262,elu,64,,0.2,50,6,4,he_normal,10.0,<class 'keras.optimizers.RMSprop'>,6
11,200,0.1438681779108777,0.8023622632026672,0.7387099266052246,0.9282060861587524,0.14881014540988163,0.8203368186950684,0.7654203176498413,0.9309415221214294,relu,64,"{0: 0.550402853804047, 1: 5.460036607687615}",0.0,200,4,4,he_normal,10.0,<class 'keras.optimizers.Adam'>,6
12,50,0.12566623954795744,0.8432592153549194,0.8108262419700623,0.9200490713119507,0.15894000970299774,0.848406970500946,0.8142415881156921,0.9260928630828857,relu,64,"{0: 0.550402853804047, 1: 5.460036607687615}",0.0,50,6,4,normal,1.0,<class 'keras.optimizers.RMSprop'>,2
13,200,0.06780958725849497,0.8546571135520935,0.8823381066322327,0.8611993193626404,0.06517018069243141,0.8745517730712891,0.9345805048942566,0.847667396068573,elu,64,,0.2,200,4,4,he_normal,1.0,<class 'keras.optimizers.RMSprop'>,6
