,round_epochs,val_loss,val_matthews,val_precision,val_recall,loss,matthews,precision,recall,activation,batch_size,class_weight,dropout,epochs,first_hidden_layer,first_neuron,kernel_initializer,learning_rate,optimizer,second_hidden_layer
0,200,0.133625155602965,0.8066416382789612,0.7626138925552368,0.9067546725273132,0.1589803287649203,0.8308578729629517,0.7825294733047485,0.9229699969291687,elu,128,"{0: 0.550402853804047, 1: 5.460036607687615}",0.4,200,2,4,he_normal,1,<class 'keras.optimizers.Adam'>,8
1,100,0.07435407448372208,0.8696532249450684,0.9047712087631226,0.8664177656173706,0.0626806315683263,0.8729506731033325,0.9118334650993347,0.8584275841712952,elu,128,,0.4,100,4,4,he_normal,10,<class 'keras.optimizers.Adam'>,8
2,200,0.0768977536856647,0.8402458429336548,0.8714663982391357,0.8458617329597473,0.06566790539554049,0.8292137980461121,0.8586898446083069,0.8336290717124939,relu,32,,0.2,200,4,2,he_normal,1,<class 'keras.optimizers.Adam'>,8
3,100,0.13710099392458852,0.8163957595825195,0.7834901809692383,0.9082440137863159,0.16128380356214564,0.8175632357597351,0.7695338129997253,0.9179330468177795,relu,64,"{0: 0.550402853804047, 1: 5.460036607687615}",0.2,100,2,2,he_normal,1,<class 'keras.optimizers.Adam'>,8
4,100,0.17203440323105693,0.7926810383796692,0.7319217920303345,0.9184480905532837,0.1734167081389137,0.8141066431999207,0.7705464363098145,0.9159755706787109,relu,64,"{0: 0.550402853804047, 1: 5.460036607687615}",0.2,100,4,4,he_normal,100,<class 'keras.optimizers.Adam'>,8
5,100,0.07615756360582243,0.8652991056442261,0.8963426351547241,0.8684251308441162,0.06656735627913968,0.8846897482872009,0.928438127040863,0.8658987283706665,relu,128,,0.2,100,4,2,he_normal,10,<class 'keras.optimizers.Adam'>,8
6,50,0.15950575643729004,0.6566882729530334,0.6951058506965637,0.6427248120307922,0.3023308474220028,0.6298617720603943,0.6648596525192261,0.6278060674667358,elu,16,"{0: 0.550402853804047, 1: 5.460036607687615}",0.4,50,2,2,he_normal,100,<class 'keras.optimizers.Adam'>,6
7,200,0.17676748969225128,0.7974863052368164,0.7334409356117249,0.9210073351860046,0.16515322790983486,0.8447887897491455,0.796615481376648,0.933595597743988,relu,128,"{0: 0.550402853804047, 1: 5.460036607687615}",0.4,200,4,8,he_normal,100,<class 'keras.optimizers.Adam'>,6
8,100,0.08352634047167544,0.8380048274993896,0.944891631603241,0.7793948650360107,0.06370753904811724,0.8839485049247742,0.930053174495697,0.867516040802002,relu,64,,0.2,100,2,4,he_normal,10,<class 'keras.optimizers.Adam'>,6
9,100,0.25653925252398874,0.7929389476776123,0.7745747566223145,0.8702003359794617,0.2422707049757331,0.7863780856132507,0.7669705152511597,0.8597912192344666,elu,32,"{0: 0.550402853804047, 1: 5.460036607687615}",0.4,100,2,4,he_normal,100,<class 'keras.optimizers.Adam'>,6
10,100,0.15857941940193707,0.7957752346992493,0.7393838763237,0.9188260436058044,0.17760056709547964,0.8144529461860657,0.7799497246742249,0.9015462398529053,elu,64,"{0: 0.550402853804047, 1: 5.460036607687615}",0.2,100,2,4,he_normal,100,<class 'keras.optimizers.Adam'>,6
11,50,0.8594509385820355,0.0005387652781791985,0.09481999278068542,0.9841269850730896,0.7174655337341799,0.00015773433551657945,0.04211995378136635,0.4591836631298065,elu,32,"{0: 0.550402853804047, 1: 5.460036607687615}",0.2,50,2,8,he_normal,100,<class 'keras.optimizers.Adam'>,6
12,200,0.1382655615964361,0.7946031093597412,0.7487151026725769,0.9022864103317261,0.14301065046922254,0.8025611042976379,0.759028434753418,0.9007613062858582,relu,32,"{0: 0.550402853804047, 1: 5.460036607687615}",0.4,200,4,4,he_normal,1,<class 'keras.optimizers.Adam'>,8
13,100,0.07353134629709092,0.8320953845977783,0.8626984357833862,0.8408352136611938,0.06830473946746028,0.8405286073684692,0.8903588652610779,0.8276970386505127,relu,32,,0.4,100,2,2,he_normal,10,<class 'keras.optimizers.Adam'>,6
