,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.22419385910034179,0.06052717605636736,0.00880260467529297,0.0024830153137301667,5,2,10,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 10}",0.9667538342050087,0.9796889635563023,0.9739505728390616,0.9667026817930198,0.9705843120777393,0.9715365038822259,0.00488764803522058,34
1,0.5388137817382812,0.10313089823706555,0.013188743591308593,0.003181853817852725,5,2,30,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 30}",0.9677313439801065,0.9758322583225831,0.9766164328309951,0.9716831069048999,0.9675155231864049,0.9718760722267009,0.0038563403547259606,32
2,0.7281944751739502,0.11801001265691272,0.028005218505859374,0.020006629533238136,5,2,50,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 50}",0.9646804801381348,0.9783689503561701,0.9764964316309829,0.9706676804257788,0.9679915564537105,0.9716413641951088,0.005129706524018887,33
3,2.229709100723267,0.9325741740238933,0.08519115447998046,0.04645793924840331,5,2,100,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 100}",0.9665538322049888,0.9769339360060267,0.9769864365310319,0.9697547970147462,0.9693963131181762,0.9719254130469462,0.004258413619180983,31
4,0.22581491470336915,0.0207323839944089,0.006395483016967773,0.0010151633367093723,5,4,10,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 10}",0.9678930122634558,0.9832014986816535,0.9778497784977849,0.9694313278243528,0.9730745246336793,0.9742904809022968,0.005623283206092704,28
5,0.715389347076416,0.09321277995012577,0.01200242042541504,0.001077824135760154,5,4,30,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 30}",0.9715997159971599,0.9812681460147935,0.9762522625226253,0.9726843607648545,0.9752587753523145,0.9754128668489775,0.0033764833422365113,23
6,2.482737922668457,1.426702185978418,0.04420323371887207,0.042680548367207215,5,4,50,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 50}",0.9684955182885163,0.9813598135981358,0.978196448631153,0.9741474752729479,0.97602993257168,0.9756459206842947,0.004305525294210132,21
7,14.040238237380981,4.375690906362769,0.3480990886688232,0.08206831697263432,5,4,100,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 100}",0.9718222182221823,0.9815473154731549,0.978936456031227,0.9733004528568665,0.9751287207293728,0.9761473205931083,0.0035998383617426364,19
8,1.6004287242889403,0.06163098261821567,0.03899693489074707,0.02115795690084685,5,6,10,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 10}",0.9695446954469544,0.981273146064794,0.9770397703977041,0.9737739850737309,0.9764309343257501,0.9756125822576983,0.0038718961024665917,22
9,3.7700382709503173,1.6436854826843545,0.043511486053466795,0.026013340400290904,5,6,30,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 30}",0.9705088717553843,0.9835473354733547,0.9779581129144624,0.9757072970647672,0.9782542000973744,0.9771951954084545,0.004218672717358599,8
10,3.0055518627166746,0.10793370801768588,0.034403753280639646,0.0038846825092151956,5,6,50,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 50}",0.9702347023470235,0.9836423364233642,0.979173125064584,0.9769486517670755,0.9770520285186445,0.9774102298877875,0.0043310588705582674,4
11,3.425943660736084,0.5726848629737312,0.033393478393554686,0.0012090000787629714,5,6,100,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 100}",0.9721738884055507,0.9830531638649719,0.9773289399560662,0.9753021268932951,0.9789061405790431,0.9773528889982976,0.003631565191846951,7
12,0.4017817974090576,0.008523238915353781,0.005599594116210938,0.0004751107577813292,5,8,10,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 10}",0.9694238609052758,0.9820489871565383,0.9757672576725767,0.9764667827154073,0.9775105544328617,0.9762433775462112,0.004052279912290866,17
13,1.2080286026000977,0.013250910326028594,0.012605953216552734,0.0004941697098118689,5,8,30,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 30}",0.9713947139471395,0.982586492531592,0.9750639173058396,0.9768477760659476,0.978019935039383,0.9767824699372929,0.003666416288549646,13
14,2.676402950286865,0.5565119829953469,0.025986194610595703,0.016007193280907665,5,8,50,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 50}",0.9704872048720488,0.982026486931536,0.976743100764341,0.9773004661958022,0.9769219738957028,0.9766957846420682,0.0036712879032999657,14
15,4.094703006744385,0.11965125197531114,0.034204864501953126,0.0024583257101218232,5,8,100,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 100}",0.9712655459887933,0.9836856701900353,0.9777964446311129,0.9765626563156526,0.9793713359611036,0.9777362962486409,0.0040331295597814485,2
16,0.1971827507019043,0.005052490555115374,0.007811450958251953,0.0007500059719464157,10,2,10,"{'max_depth': 10, 'max_features': 2, 'n_estimators': 10}",0.9729505628389618,0.979403127364607,0.9775697756977568,0.9732337581784349,0.9690736776112634,0.974446670908486,0.003657798899711729,27
17,0.5868048191070556,0.00902752152075616,0.015003490447998046,0.0008994298398275819,10,2,30,"{'max_depth': 10, 'max_features': 2, 'n_estimators': 30}",0.97739977399774,0.9804739714063807,0.9775164418310851,0.9755155498642762,0.9712095746880357,0.9764235183658595,0.003051551948496598,15
18,0.9807858467102051,0.019703712739046968,0.024414682388305665,0.0029311867614795566,10,2,50,"{'max_depth': 10, 'max_features': 2, 'n_estimators': 50}",0.9757047570475705,0.9793522935229353,0.9770897708977091,0.9753521479021189,0.9692487511421464,0.9753499984114553,0.0033582968223312254,24
