,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
71,0.9688641548156738,0.06167339043511002,0.1521231174468994,0.039656097892076456,0.001291549665014884,0.002154434690031882,rbf,"{'C': 0.001291549665014884, 'gamma': 0.002154434690031882, 'kernel': 'rbf'}",0.9650463171298381,0.9745730790641239,0.972156388230549,0.9671311951019429,0.966207473805665,0.9690232413415654,0.003686392721849077,141
72,0.19197640419006348,0.017290637108893923,0.032390499114990236,0.002829817796202639,0.001291549665014884,0.005994842503189409,linear,"{'C': 0.001291549665014884, 'gamma': 0.005994842503189409, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
73,0.5189526081085205,0.0638056903874792,0.0911799430847168,0.014194843536691466,0.001291549665014884,0.005994842503189409,poly,"{'C': 0.001291549665014884, 'gamma': 0.005994842503189409, 'kernel': 'poly'}",0.9614279476128094,0.9699513661803284,0.9714113807804745,0.9635363519344791,0.964506759505659,0.966167080834052,0.0038462370651146426,198
74,1.008652114868164,0.1283869329630781,0.15095024108886718,0.00954703440361741,0.001291549665014884,0.005994842503189409,rbf,"{'C': 0.001291549665014884, 'gamma': 0.005994842503189409, 'kernel': 'rbf'}",0.964636313029797,0.9752880862141955,0.972556392230589,0.9688169030993017,0.966287507419783,0.9695173331552167,0.0039317083208526594,123
75,0.195991849899292,0.042217993058361616,0.03694005012512207,0.008287617485118427,0.001291549665014884,0.016681005372000592,linear,"{'C': 0.001291549665014884, 'gamma': 0.016681005372000592, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
76,0.4496791839599609,0.05064959345582431,0.08180537223815917,0.0055903675579294905,0.001291549665014884,0.016681005372000592,poly,"{'C': 0.001291549665014884, 'gamma': 0.016681005372000592, 'kernel': 'poly'}",0.961786284529512,0.971773051063844,0.9724213908805754,0.9635446887692831,0.9659240214223307,0.9670902383026744,0.004299335116119181,185
77,0.912153959274292,0.03748274249151641,0.1408769130706787,0.009402478618810056,0.001291549665014884,0.016681005372000592,rbf,"{'C': 0.001291549665014884, 'gamma': 0.016681005372000592, 'kernel': 'rbf'}",0.9633813004796714,0.9758097580975811,0.9726047260472604,0.97142966712686,0.9655788764614471,0.9697610528725198,0.004596903630602958,118
78,0.1882967472076416,0.0263847630483231,0.029770421981811523,0.0017211970721165931,0.001291549665014884,0.046415888336127774,linear,"{'C': 0.001291549665014884, 'gamma': 0.046415888336127774, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
79,0.3055122375488281,0.005205833416369854,0.05739598274230957,0.003918520177313075,0.001291549665014884,0.046415888336127774,poly,"{'C': 0.001291549665014884, 'gamma': 0.046415888336127774, 'kernel': 'poly'}",0.9619346193461934,0.9745847458474586,0.973649736497365,0.9631912069735955,0.9666326523806665,0.9679990521155644,0.0052358854057832065,170
80,0.8404541015625,0.01361574791584567,0.1294083595275879,0.0027321690518123587,0.001291549665014884,0.046415888336127774,rbf,"{'C': 0.001291549665014884, 'gamma': 0.046415888336127774, 'kernel': 'rbf'}",0.9547845478454785,0.9697763644303109,0.9701930352636859,0.9644734121664433,0.9562366193801397,0.9630932037409312,0.00652743824384873,247
81,0.20312147140502929,0.026374147819338053,0.03430132865905762,0.00458741437087064,0.001291549665014884,0.12915496650148828,linear,"{'C': 0.001291549665014884, 'gamma': 0.12915496650148828, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
82,0.24445419311523436,0.009080633817894302,0.04101428985595703,0.0024526631853418837,0.001291549665014884,0.12915496650148828,poly,"{'C': 0.001291549665014884, 'gamma': 0.12915496650148828, 'kernel': 'poly'}",0.9636246362463624,0.9748447484474844,0.9723413900805675,0.9631762006709486,0.9611570192814315,0.967029523401735,0.005481338034462641,189
83,0.8427452087402344,0.034075309120718295,0.13275547027587892,0.008692197750510123,0.001291549665014884,0.12915496650148828,rbf,"{'C': 0.001291549665014884, 'gamma': 0.12915496650148828, 'kernel': 'rbf'}",0.9363610302769695,0.964186308529752,0.967079670796708,0.9561349099955315,0.951139478581004,0.9549804797530081,0.010899450485619721,270
84,0.18758363723754884,0.014223076194622772,0.0326542854309082,0.002157820971494273,0.001291549665014884,0.3593813663804626,linear,"{'C': 0.001291549665014884, 'gamma': 0.3593813663804626, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
85,0.24274992942810059,0.03605859402523028,0.03271474838256836,0.002465285584074529,0.001291549665014884,0.3593813663804626,poly,"{'C': 0.001291549665014884, 'gamma': 0.3593813663804626, 'kernel': 'poly'}",0.963229632296323,0.97456641233079,0.9700113667803344,0.9600065360784863,0.9573687615465163,0.9650374877787754,0.006370666457712511,240
86,0.906902551651001,0.054689797747372745,0.1358738899230957,0.005340372183003401,0.001291549665014884,0.3593813663804626,rbf,"{'C': 0.001291549665014884, 'gamma': 0.3593813663804626, 'kernel': 'rbf'}",0.9273192731927319,0.9713163798304649,0.9625212918795855,0.9477663952193255,0.9533287314005217,0.9524506978254966,0.014911674154251459,287
87,0.18498492240905762,0.030731005314205917,0.03173718452453613,0.002506869106320637,0.001291549665014884,1.0,linear,"{'C': 0.001291549665014884, 'gamma': 1.0, 'kernel': 'linear'}",0.9699280326136595,0.9809464761314279,0.974336410030767,0.966502597757725,0.9715847322542134,0.9726601885320131,0.004858240748655258,88
88,0.5198551177978515,0.13022445718976597,0.03008894920349121,0.002331459800648352,0.001291549665014884,1.0,poly,"{'C': 0.001291549665014884, 'gamma': 1.0, 'kernel': 'poly'}",0.9545945459454594,0.9689546895468956,0.9672380057133905,0.9504108392191387,0.9568135283485731,0.9596032142732001,0.0072541549932437265,256
